time,stage,Lot,runnum,recipe,recipe_step,ACTUALROTATIONANGLE,ACTUALSTEPDURATION,ETCHBEAMCURRENT,ETCHGASCHANNEL1READBACK,ETCHPBNGASREADBACK,ETCHSOURCEUSAGE,FIXTURETILTANGLE,FLOWCOOLFLOWRATE,FLOWCOOLPRESSURE,IONGAUGEPRESSURE,TTF_FlowCool Pressure Dropped Below Limit,fault_x,fault_labeling_x,TTF_Flowcool Pressure Too High Check Flowcool Pump,fault_y,fault_labeling_y,TTF_Flowcool leak,fault,fault_labeling
9838266,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.959154729,-0.058298717,0.356221919,-1.292382695,-0.200726709,0.569103041,0.266731547,0.001917499,8219634,0,0,2592038,0,0,8223116,0,0
9838270,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.959864057,-0.050292355,0.356221919,-1.292379378,-0.200726709,0.579838468,0.263508534,0.001917499,8219630,0,0,2592034,0,0,8223112,0,0
9838274,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.958658221,-0.050292355,0.354293336,-1.292376061,-0.200726709,0.579838468,0.263508534,0.001917499,8219626,0,0,2592030,0,0,8223108,0,0
9838278,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.95901287,-0.050292355,0.354293336,-1.292374402,-0.200726709,0.561401242,0.263508534,0.001917499,8219622,0,0,2592026,0,0,8223104,0,0
9838282,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.959367519,-0.061544234,0.354293336,-1.292369427,-0.200726709,0.561401242,0.264161563,0.001917499,8219618,0,0,2592022,0,0,8223100,0,0
9838286,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.959864057,-0.061544234,0.359726635,-1.29236611,-0.200726709,0.561401242,0.264161563,0.001917499,8219614,0,0,2592018,0,0,8223096,0,0
9838290,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.958374502,-0.051796375,0.359726635,-1.292364452,-0.200726709,0.562459087,0.264161563,0.001917499,8219610,0,0,2592014,0,0,8223092,0,0
9838294,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.959083799,-0.051796375,0.353065695,-1.292361135,-0.200726709,0.562459087,0.264161563,0.001917499,8219606,0,0,2592010,0,0,8223088,0,0
9838298,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.959225659,-0.051796375,0.353065695,-1.292357818,-0.200726709,0.562459087,0.264161563,0.001917499,8219602,0,0,2592006,0,0,8223084,0,0
9838302,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.958445432,-0.065049844,0.353065695,-1.292354501,-0.200726709,0.567441199,0.264161563,0.001917499,8219598,0,0,2592002,0,0,8223080,0,0
9838306,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.959367519,-0.065049844,0.35744956,-1.292351184,-0.200726709,0.567441199,0.264161563,0.001917499,8219594,0,0,2591998,0,0,8223076,0,0
9838310,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.959154729,-0.065049844,0.35744956,-1.292347868,-0.200726709,0.574071503,0.264161563,0.001917499,8219590,0,0,2591994,0,0,8223072,0,0
9838314,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.959509378,-0.055041892,0.355168525,-1.292344551,-0.200726709,0.574071503,0.264161563,0.001917499,8219586,0,0,2591990,0,0,8223068,0,0
9838318,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.959580308,-0.055041892,0.355168525,-1.292341234,-0.200726709,0.574071503,0.264161563,0.001917499,8219582,0,0,2591986,0,0,8223064,0,0
9838322,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.959083799,-0.053537872,0.355168525,-1.292336259,-0.200726709,0.568198753,0.262876571,0.001917499,8219578,0,0,2591982,0,0,8223060,0,0
9838326,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.959154729,-0.053537872,0.35078862,-1.292332942,-0.200726709,0.568198753,0.262876571,0.001917499,8219574,0,0,2591978,0,0,8223056,0,0
9838330,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.959722198,-0.053537872,0.35078862,-1.292329625,-0.200726709,0.574071503,0.266099584,0.001917499,8219570,0,0,2591974,0,0,8223052,0,0
9838334,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.958729151,-0.060051522,0.358498994,-1.292326308,-0.200726709,0.574071503,0.266099584,0.001917499,8219566,0,0,2591970,0,0,8223048,0,0
9838338,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.959225659,-0.060051522,0.358498994,-1.292322991,-0.200726709,0.574071503,0.266099584,0.001917499,8219562,0,0,2591966,0,0,8223044,0,0
9838342,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.958516361,-0.055041892,0.358498994,-1.292319674,-0.200726709,0.570147237,0.262876571,0.001917499,8219558,0,0,2591962,0,0,8223040,0,0
9838346,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.958729151,-0.055041892,0.347283905,-1.292316358,-0.200726709,0.570147237,0.262876571,0.001917499,8219554,0,0,2591958,0,0,8223036,0,0
9838350,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.959154729,-0.055041892,0.347283905,-1.292313041,-0.200726709,0.565479066,0.266099584,0.001917499,8219550,0,0,2591954,0,0,8223032,0,0
9838354,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.959225659,-0.058298717,0.362003709,-1.292309724,-0.200726709,0.565479066,0.266099584,0.001917499,8219546,0,0,2591950,0,0,8223028,0,0
9838358,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.959509378,-0.058298717,0.362003709,-1.292306407,-0.200726709,0.565479066,0.262876571,0.001917499,8219542,0,0,2591946,0,0,8223024,0,0
9838362,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.959083799,-0.050292355,0.362003709,-1.29230309,-0.200726709,0.567441199,0.262876571,0.001917499,8219538,0,0,2591942,0,0,8223020,0,0
9838366,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.959225659,-0.050292355,0.353065695,-1.292299773,-0.200726709,0.567441199,0.262876571,0.001917499,8219534,0,0,2591938,0,0,8223016,0,0
9838370,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.95901287,-0.068306669,0.353065695,-1.292296456,-0.200726709,0.565479066,0.262876571,0.001917499,8219530,0,0,2591934,0,0,8223012,0,0
9838374,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.959154729,-0.050292355,0.353065695,-1.29229314,-0.200726709,0.565479066,0.266731547,0.001917499,8219526,0,0,2591930,0,0,8223008,0,0
9838378,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.95894194,-0.050292355,0.356221919,-1.292289823,-0.200726709,0.565479066,0.263508534,0.001917499,8219522,0,0,2591926,0,0,8223004,0,0
9838382,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.958729151,-0.050292355,0.356221919,-1.292286506,-0.200726709,0.568198753,0.263508534,0.001917499,8219518,0,0,2591922,0,0,8223000,0,0
9838386,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.958445432,-0.051796375,0.358498994,-1.292283189,-0.200726709,0.568198753,0.263508534,0.001917499,8219514,0,0,2591918,0,0,8222996,0,0
9838390,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.958729151,-0.051796375,0.358498994,-1.292279872,-0.200726709,0.56442122,0.263508534,0.001917499,8219510,0,0,2591914,0,0,8222992,0,0
9838394,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.959154729,-0.058298717,0.348511546,-1.292276555,-0.200726709,0.56442122,0.263508534,0.001917499,8219506,0,0,2591910,0,0,8222988,0,0
9838398,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.95901287,-0.058298717,0.348511546,-1.292273238,-0.200726709,0.56442122,0.263508534,0.001917499,8219502,0,0,2591906,0,0,8222984,0,0
9838402,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.959225659,-0.058298717,0.348511546,-1.292269922,-0.200726709,0.565479066,0.263508534,0.001917499,8219498,0,0,2591902,0,0,8222980,0,0
9838406,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.95887101,-0.066553864,0.359726635,-1.292266605,-0.200726709,0.565479066,0.263508534,0.001917499,8219494,0,0,2591898,0,0,8222976,0,0
9838410,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.959367519,-0.066553864,0.359726635,-1.292263288,-0.200726709,0.566386766,0.263508534,0.001917499,8219490,0,0,2591894,0,0,8222972,0,0
9838414,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.95880008,-0.046786745,0.359726635,-1.292259971,-0.200726709,0.566386766,0.263508534,0.001917499,8219486,0,0,2591890,0,0,8222968,0,0
9838418,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.958729151,-0.046786745,0.349739186,-1.292256654,-0.200726709,0.566386766,0.263508534,0.001917499,8219482,0,0,2591886,0,0,8222964,0,0
9838422,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.95894194,-0.058298717,0.349739186,-1.292254996,-0.200726709,0.571068586,0.263508534,0.001917499,8219478,0,0,2591882,0,0,8222960,0,0
9838426,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.95901287,-0.058298717,0.353065695,-1.292251679,-0.200726709,0.571068586,0.263508534,0.001917499,8219474,0,0,2591878,0,0,8222956,0,0
9838430,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.95901287,-0.058298717,0.353065695,-1.292248362,-0.200726709,0.574992852,0.263508534,0.001917499,8219470,0,0,2591874,0,0,8222952,0,0
9838434,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.959083799,-0.051796375,0.353065695,-1.292245045,-0.200726709,0.574992852,0.266731547,0.001917499,8219466,0,0,2591870,0,0,8222948,0,0
9838438,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.959367519,-0.051796375,0.356221919,-1.292241728,-0.200726709,0.574992852,0.263508534,0.001917499,8219462,0,0,2591866,0,0,8222944,0,0
9838442,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.959083799,-0.055041892,0.356221919,-1.292238412,-0.200726709,0.574071503,0.263508534,0.001917499,8219458,0,0,2591862,0,0,8222940,0,0
9838442,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.959083799,-0.055041892,0.356221919,-1.292238412,-0.200726709,0.574071503,0.263508534,0.001917499,8219454,0,0,2591858,0,0,8222936,0,0
9838442,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.959083799,-0.055041892,0.356221919,-1.292238412,-0.200726709,0.574071503,0.263508534,0.001917499,8219450,0,0,2591854,0,0,8222932,0,0
9838442,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.959083799,-0.055041892,0.356221919,-1.292238412,-0.200726709,0.574071503,0.263508534,0.001917499,8219446,0,0,2591850,0,0,8222928,0,0
9838442,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.959083799,-0.055041892,0.356221919,-1.292238412,-0.200726709,0.574071503,0.263508534,0.001917499,8219442,0,0,2591846,0,0,8222924,0,0
9838442,1,9162,10922650,66,3,-0.122446015,-0.672756467,-0.959083799,-0.055041892,0.356221919,-1.292238412,-0.200726709,0.574071503,0.263508534,0.001917499,8219438,0,0,2591842,0,0,8222920,0,0
