time,stage,Lot,runnum,recipe,recipe_step,ACTUALROTATIONANGLE,ACTUALSTEPDURATION,ETCHBEAMCURRENT,ETCHGASCHANNEL1READBACK,ETCHPBNGASREADBACK,ETCHSOURCEUSAGE,FIXTURETILTANGLE,FLOWCOOLFLOWRATE,FLOWCOOLPRESSURE,IONGAUGEPRESSURE,TTF_FlowCool Pressure Dropped Below Limit,fault_x,fault_labeling_x,TTF_Flowcool Pressure Too High Check Flowcool Pump,fault_y,fault_labeling_y,TTF_Flowcool leak,fault,fault_labeling
22574432,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.958729151,-0.056794697,0.364280784,-1.244077754,0.022130759,0.560496954,0.622231905,0.023050927,720,0,0,508340,0,0,2451374,0,0
22574436,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.958303572,-0.063297039,0.364280784,-1.244074437,0.022130759,0.560496954,0.622231905,0.023050927,716,0,0,508336,0,0,2451370,0,0
22574440,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.959296589,-0.063297039,0.364280784,-1.24407112,0.022130759,0.565479066,0.622231905,0.023050927,712,0,0,508332,0,0,2451366,0,0
22574444,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.959083799,-0.063297039,0.360776069,-1.244067803,0.022130759,0.565479066,0.622231905,0.023050927,708,0,0,508328,0,0,2451362,0,0
22574448,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.958445432,-0.060051522,0.360776069,-1.244064486,0.022130759,0.565479066,0.622231905,0.023050927,704,0,0,508324,0,0,2451358,0,0
22574452,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.959225659,-0.060051522,0.359726635,-1.24406117,0.022130759,0.567441199,0.622231905,0.023050927,700,0,0,508320,0,0,2451354,0,0
22574458,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.959580308,-0.061544234,0.359726635,-1.244057853,0.022130759,0.567441199,0.622231905,0.023050927,694,0,0,508314,0,0,2451348,0,0
22574460,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.959934987,-0.061544234,0.359726635,-1.244052877,0.022130759,0.565479066,0.622231905,0.023050927,692,0,0,508312,0,0,2451346,0,0
22574464,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.959438448,-0.061544234,0.356221919,-1.244051219,0.022130759,0.565479066,0.622231905,0.023050927,688,0,0,508308,0,0,2451342,0,0
22574470,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.959083799,-0.055041892,0.356221919,-1.244046244,0.022130759,0.565479066,0.619029959,0.023050927,682,0,0,508302,0,0,2451336,0,0
22574472,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.958587291,-0.055041892,0.349739186,-1.244042927,0.022130759,0.566386766,0.619029959,0.023050927,680,0,0,508300,0,0,2451334,0,0
22574478,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.95880008,-0.053537872,0.349739186,-1.24403961,0.022130759,0.566386766,0.619029959,0.023050927,674,0,0,508294,0,0,2451328,0,0
22574480,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.959651238,-0.053537872,0.349739186,-1.244037952,0.022130759,0.568198753,0.622231905,0.023050927,672,0,0,508292,0,0,2451326,0,0
22574484,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.959509378,-0.053537872,0.35078862,-1.244034635,0.022130759,0.568198753,0.622231905,0.023050927,668,0,0,508288,0,0,2451322,0,0
22574488,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.95901287,-0.04853955,0.35078862,-1.244031318,0.022130759,0.568198753,0.619029959,0.023050927,664,0,0,508284,0,0,2451318,0,0
22574492,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.959438448,-0.068306669,0.358498994,-1.244028001,0.022130759,0.566386766,0.622231905,0.023050927,660,0,0,508280,0,0,2451314,0,0
22574496,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.959722198,-0.050292355,0.358498994,-1.244024684,0.022130759,0.566386766,0.622231905,0.023050927,656,0,0,508276,0,0,2451310,0,0
22574502,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.95880008,-0.050292355,0.358498994,-1.244021367,0.022130759,0.566386766,0.622231905,0.023050927,650,0,0,508270,0,0,2451304,0,0
22574504,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.95880008,-0.04853955,0.353065695,-1.24401805,0.022130759,0.567441199,0.622231905,0.023050927,648,0,0,508268,0,0,2451302,0,0
22574508,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.95901287,-0.04853955,0.353065695,-1.244014734,0.022130759,0.567441199,0.61837693,0.023050927,644,0,0,508264,0,0,2451298,0,0
22574512,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.958445432,-0.04853955,0.356221919,-1.244011417,0.022130759,0.560496954,0.61837693,0.023050927,640,0,0,508260,0,0,2451294,0,0
22574516,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.959296589,-0.056794697,0.356221919,-1.2440081,0.022130759,0.560496954,0.621599942,0.023050927,636,0,0,508256,0,0,2451290,0,0
